Alzheimer's,https://www.webmd.com/alzheimers/default.htm,Memory loss,Poor concentration,Mood swings,Reading difficulty,Anxiety,
Asthma,https://www.webmd.com/asthma/default.htm,Dyspnea,Fatigue,Drowsiness/Confusion,Coughing,Fast heartbeat,
Common Cold,https://www.webmd.com/cold-and-flu/common_cold_overview,Coughing,Sore throat,Fever,Sneezing,Watery eyes,
Depression,https://www.webmd.com/depression/default.htm,Anxiety,Mood swings,Poor concentration,Fatigue,,
Diabetes,https://www.webmd.com/diabetes/default.htm,Vision problems,Fatigue,Unexplained weight loss,Lightheadedness,Fast heartbeat,
Diarrhea,https://www.webmd.com/digestive-disorders/digestive-diseases-diarrhea,Nausea,Fever,Bloating,Fatigue,,
Hepatitis B,https://www.webmd.com/hepatitis/digestive-diseases-hepatitis-b,Fever,Fatigue,Nausea,Joint pain,Loss of appetite,
Hypertension,https://www.webmd.com/hypertension-high-blood-pressure/default.htm,Vision problems,Fatigue,Dyspnea,Drowsiness/Confusion,Insomnia,
Influenza,https://www.mayoclinic.org/diseases-conditions/flu/symptoms-causes/syc-20351719,Coughing,Fatigue,Fever,Headache,Nausea,Vomiting
Malaria,https://www.webmd.com/a-to-z-guides/malaria-symptoms,Headache,Muscle pain,Fatigue,Nausea,Vomiting,Coughing
Measles,https://www.webmd.com/children/vaccines/what-is-measle,Watery eyes,Coughing,Runny nose,Fatigue,,
Peptic Ulcer,https://www.webmd.com/digestive-disorders/peptic-ulcer-overview,Heartburn,Nausea,Vomiting,Fatigue,Bloating,Unexplained weight loss
Pneumonia,https://www.webmd.com/lung/understanding-pneumonia-basics#:~:text=Pneumonia%20is%20a%20lung%20infectionoxygen%20to%20reach%20your%20bloodstream.,Dyspnea,Sweating and shivering,Fever,Watery eyes,Rapid heartbeat,
Tuberculosis,https://www.webmd.com/lung/understanding-tuberculosis-basics,Unexplained weight loss,Fatigue,Loss of appetite,Swelling,,
